month,service_category,internal_count,internal_total_cost,internal_avg_cost,benchmark_avg_cost,benchmark_equivalent_cost,estimated_cost_avoidance,efficiency_percent,event_reach,event_registrations,event_attendance,qualified_followups,benchmark_total_spend,benchmark_contract_count
2025-01,Rapid Prototyping,8,2770560.0,346320.0,468000.0,3744000.0,973440.0,26.0,0,0,0,0,42962400.0,90
2025-01,Project Support,24,1460160.0,60840.0,78000.0,1872000.0,411840.0,22.0,0,0,0,0,16052400.0,210
2025-01,Events & Engagement,105,177660.0,1692.0,2350.0,246750.0,69090.0,28.0,4100,720,445,108,3642500.0,1550
2025-01,Facility Utilization,14,119168.0,8512.0,11200.0,156800.0,37632.0,24.0,0,0,0,0,3584000.0,320
2025-02,Rapid Prototyping,8,2781216.0,347652.0,469800.0,3758400.0,977184.0,26.0,0,0,0,0,43606836.0,91
2025-02,Project Support,25,1528800.0,61152.0,78400.0,1960000.0,431200.0,22.0,0,0,0,0,16288384.0,212
2025-02,Events & Engagement,108,184680.0,1710.0,2375.0,256500.0,71820.0,28.0,4175,731,454,110,3716875.0,1565
2025-02,Facility Utilization,15,129390.0,8626.0,11350.0,170250.0,40860.0,24.0,0,0,0,0,3666050.0,323
2025-03,Rapid Prototyping,8,2791872.0,348984.0,471600.0,3772800.0,980928.0,26.0,0,0,0,0,44254944.0,92
2025-03,Project Support,26,1598064.0,61464.0,78800.0,2048800.0,450736.0,22.0,0,0,0,0,16525936.0,214
2025-03,Events & Engagement,111,191808.0,1728.0,2400.0,266400.0,74592.0,28.0,4250,742,463,112,3792000.0,1580
2025-03,Facility Utilization,15,131100.0,8740.0,11500.0,172500.0,41400.0,24.0,0,0,0,0,3749000.0,326
2025-04,Rapid Prototyping,9,3152844.0,350316.0,473400.0,4260600.0,1107756.0,26.0,0,0,0,0,44906724.0,93
2025-04,Project Support,27,1667952.0,61776.0,79200.0,2138400.0,470448.0,22.0,0,0,0,0,16765056.0,216
2025-04,Events & Engagement,114,199044.0,1746.0,2425.0,276450.0,77406.0,28.0,4325,753,472,114,3867875.0,1595
2025-04,Facility Utilization,16,141664.0,8854.0,11650.0,186400.0,44736.0,24.0,0,0,0,0,3832850.0,329
2025-05,Rapid Prototyping,9,3164832.0,351648.0,475200.0,4276800.0,1111968.0,26.0,0,0,0,0,45562176.0,94
2025-05,Project Support,28,1738464.0,62088.0,79600.0,2228800.0,490336.0,22.0,0,0,0,0,17005744.0,218
2025-05,Events & Engagement,117,206388.0,1764.0,2450.0,286650.0,80262.0,28.0,4400,764,481,116,3944500.0,1610
2025-05,Facility Utilization,16,143488.0,8968.0,11800.0,188800.0,45312.0,24.0,0,0,0,0,3917600.0,332
2025-06,Rapid Prototyping,10,3529800.0,352980.0,477000.0,4770000.0,1240200.0,26.0,0,0,0,0,46221300.0,95
2025-06,Project Support,29,1809600.0,62400.0,80000.0,2320000.0,510400.0,22.0,0,0,0,0,17248000.0,220
2025-06,Events & Engagement,120,213840.0,1782.0,2475.0,297000.0,83160.0,28.0,4475,775,490,118,4021875.0,1625
